log,total_events,max_inactive,min_inactive,ratio,total_mem_bytes,div_mem_bytes,seen_mem_bytes,active_objs,fitness,precision,f1_score,duration_ms
hiring_log_high.json,63869,0,0,0.0000,1949152,240,48,1,0.4940,0.6528,0.5624,29
hiring_log_high.json,63869,64,0,0.0000,1982960,24192,48,57,0.5714,0.6562,0.6109,121
hiring_log_high.json,63869,64,3,0.0469,1997392,36608,48,58,0.5714,0.6562,0.6109,115
hiring_log_high.json,63869,64,6,0.0938,1991728,36416,48,58,0.5714,0.6562,0.6109,113
hiring_log_high.json,63869,64,13,0.2031,1990368,33216,48,58,0.5714,0.6562,0.6109,101
hiring_log_high.json,63869,64,32,0.5000,1986000,27008,48,58,0.5714,0.6562,0.6109,78
hiring_log_high.json,63869,64,51,0.7969,1995280,36992,48,58,0.5714,0.6562,0.6109,50
hiring_log_high.json,63869,64,64,1.0000,1991632,33984,48,58,0.5714,0.6562,0.6109,32
hiring_log_high.json,63869,319,0,0.0000,2064112,81280,48,264,0.5714,0.6562,0.6109,460
hiring_log_high.json,63869,319,16,0.0502,2075664,82048,48,264,0.5714,0.6562,0.6109,436
hiring_log_high.json,63869,319,32,0.1003,2080832,89152,48,264,0.5714,0.6562,0.6109,413
hiring_log_high.json,63869,319,64,0.2006,2065264,85568,48,264,0.5714,0.6562,0.6109,369
hiring_log_high.json,63869,319,160,0.5016,2057088,78208,48,264,0.5714,0.6562,0.6109,241
hiring_log_high.json,63869,319,255,0.7994,2067872,89088,48,265,0.5714,0.6562,0.6109,121
hiring_log_high.json,63869,319,319,1.0000,2064160,86080,48,266,0.5714,0.6562,0.6109,34
hiring_log_high.json,63869,639,0,0.0000,2244088,204864,48,502,0.5714,0.6562,0.6109,767
hiring_log_high.json,63869,639,32,0.0501,2243864,211904,48,502,0.5714,0.6562,0.6109,735
hiring_log_high.json,63869,639,64,0.1002,2235864,206272,48,502,0.5714,0.6562,0.6109,697
hiring_log_high.json,63869,639,128,0.2003,2235080,203712,48,502,0.5714,0.6562,0.6109,621
hiring_log_high.json,63869,639,320,0.5008,2231760,204864,48,502,0.5714,0.6562,0.6109,450
hiring_log_high.json,63869,639,511,0.7997,2236416,212928,48,502,0.5714,0.6562,0.6109,201
hiring_log_high.json,63869,639,639,1.0000,2211472,209472,48,504,0.5714,0.6562,0.6109,35
hiring_log_high.json,63869,3193,0,0.0000,2973136,773064,48,1863,0.6429,0.6944,0.6677,3558
hiring_log_high.json,63869,3193,160,0.0501,2956176,761096,48,1863,0.6429,0.6944,0.6677,3371
hiring_log_high.json,63869,3193,319,0.0999,2962176,765000,48,1864,0.6429,0.6944,0.6677,3232
hiring_log_high.json,63869,3193,639,0.2001,2969984,770760,48,1865,0.6429,0.6944,0.6677,2936
hiring_log_high.json,63869,3193,1597,0.5002,2960720,760328,48,1868,0.6429,0.6944,0.6677,1763
hiring_log_high.json,63869,3193,2554,0.7999,2959744,767944,48,1870,0.6429,0.6944,0.6677,721
hiring_log_high.json,63869,3193,3193,1.0000,2946776,760968,48,1872,0.6429,0.6944,0.6677,37
hiring_log_high.json,63869,6387,0,0.0000,4139512,1480544,48,3109,0.9821,0.8058,0.8853,6739
hiring_log_high.json,63869,6387,319,0.0499,4138872,1478112,48,3109,0.9821,0.8058,0.8853,6393
hiring_log_high.json,63869,6387,639,0.1000,4139784,1480224,48,3109,0.9821,0.8058,0.8853,6626
hiring_log_high.json,63869,6387,1277,0.1999,4146072,1485152,48,3109,0.9821,0.8058,0.8853,5276
hiring_log_high.json,63869,6387,3194,0.5001,4139544,1478752,48,3110,0.9821,0.8058,0.8853,3226
hiring_log_high.json,63869,6387,5110,0.8001,4125960,1468512,48,3111,0.9821,0.8058,0.8853,1248
hiring_log_high.json,63869,6387,6387,1.0000,4130288,1479136,48,3112,0.9821,0.8058,0.8853,38
hiring_log_high.json,63869,12774,0,0.0000,5245088,2579232,48,4260,1.0000,1.0000,1.0000,10404
hiring_log_high.json,63869,12774,639,0.0500,5237632,2570464,48,4262,1.0000,1.0000,1.0000,9630
hiring_log_high.json,63869,12774,1277,0.1000,5252800,2585120,48,4264,1.0000,1.0000,1.0000,8941
hiring_log_high.json,63869,12774,2555,0.2000,5248560,2580064,48,4268,1.0000,1.0000,1.0000,7651
hiring_log_high.json,63869,12774,6387,0.5000,5245936,2581088,48,4280,1.0000,1.0000,1.0000,4013
hiring_log_high.json,63869,12774,10219,0.8000,5262928,2592480,48,4292,1.0000,1.0000,1.0000,1345
hiring_log_high.json,63869,12774,12774,1.0000,5241328,2573152,48,4300,1.0000,1.0000,1.0000,37
hiring_log_high.json,63869,31935,0,0.0000,10976544,8079360,48,8799,1.0000,1.0000,1.0000,8311
hiring_log_high.json,63869,31935,1597,0.0500,10981264,8085056,48,8799,1.0000,1.0000,1.0000,7074
hiring_log_high.json,63869,31935,3194,0.1000,10986320,8088064,48,8799,1.0000,1.0000,1.0000,6044
hiring_log_high.json,63869,31935,6387,0.2000,10971760,8074432,48,8799,1.0000,1.0000,1.0000,4133
hiring_log_high.json,63869,31935,15968,0.5000,10976480,8080128,48,8799,1.0000,1.0000,1.0000,1149
hiring_log_high.json,63869,31935,25548,0.8000,10984832,8086208,48,8822,1.0000,1.0000,1.0000,201
hiring_log_high.json,63869,31935,31935,1.0000,10967568,8068416,48,8850,1.0000,1.0000,1.0000,34
hiring_log_high.json,63869,63869,63869,1.0000,17092208,14134672,48,10000,1.0000,1.0000,1.0000,31
hospital_log_high.json,69528,0,0,0.0000,1948650,240,48,1,0.5654,0.8042,0.6640,32
hospital_log_high.json,69528,70,0,0.0000,1977106,20312,48,33,0.5654,0.7042,0.6272,179
hospital_log_high.json,69528,70,4,0.0571,1979602,20952,48,33,0.5654,0.7042,0.6272,171
hospital_log_high.json,69528,70,7,0.1000,1976338,19352,48,33,0.5654,0.7042,0.6272,165
hospital_log_high.json,69528,70,14,0.2000,1977650,22616,48,33,0.5654,0.7042,0.6272,150
hospital_log_high.json,69528,70,35,0.5000,1977954,19864,48,34,0.5654,0.7042,0.6272,107
hospital_log_high.json,69528,70,56,0.8000,1973634,19800,48,34,0.5654,0.7042,0.6272,65
hospital_log_high.json,69528,70,70,1.0000,1973074,19480,48,35,0.5654,0.7042,0.6272,36
hospital_log_high.json,69528,348,0,0.0000,2067706,88728,48,158,0.5654,0.7042,0.6272,626
hospital_log_high.json,69528,348,17,0.0489,2057626,91032,48,158,0.5654,0.7042,0.6272,588
hospital_log_high.json,69528,348,35,0.1006,2058754,90776,48,158,0.5654,0.7042,0.6272,678
hospital_log_high.json,69528,348,70,0.2011,2061634,93464,48,158,0.5654,0.7042,0.6272,609
hospital_log_high.json,69528,348,174,0.5000,2057138,88536,48,158,0.5654,0.7042,0.6272,393
hospital_log_high.json,69528,348,278,0.7989,2064962,89560,48,158,0.5654,0.7042,0.6272,179
hospital_log_high.json,69528,348,348,1.0000,2068530,90648,48,158,0.5654,0.7042,0.6272,38
hospital_log_high.json,69528,695,0,0.0000,2153738,171288,48,233,0.5654,0.7042,0.6272,1194
hospital_log_high.json,69528,695,35,0.0504,2159818,170776,48,233,0.5654,0.7042,0.6272,1136
hospital_log_high.json,69528,695,70,0.1007,2196426,169496,48,233,0.5654,0.7042,0.6272,1080
hospital_log_high.json,69528,695,139,0.2000,2198026,173720,48,233,0.5654,0.7042,0.6272,982
hospital_log_high.json,69528,695,348,0.5007,2159594,171224,48,233,0.5654,0.7042,0.6272,613
hospital_log_high.json,69528,695,556,0.8000,2183474,170392,48,233,0.5654,0.7042,0.6272,322
hospital_log_high.json,69528,695,695,1.0000,2181602,174040,48,233,0.5654,0.7042,0.6272,40
hospital_log_high.json,69528,3476,0,0.0000,2905338,809688,48,1468,0.6038,0.7417,0.6657,5730
hospital_log_high.json,69528,3476,174,0.0501,2898362,804696,48,1468,0.6038,0.7417,0.6657,5427
hospital_log_high.json,69528,3476,348,0.1001,2905690,809560,48,1468,0.6038,0.7417,0.6657,5789
hospital_log_high.json,69528,3476,695,0.1999,2904890,813912,48,1468,0.6038,0.7417,0.6657,4544
hospital_log_high.json,69528,3476,1738,0.5000,2905450,810520,48,1468,0.6038,0.7417,0.6657,2842
hospital_log_high.json,69528,3476,2781,0.8001,2896010,804568,48,1468,0.6038,0.7417,0.6657,1142
hospital_log_high.json,69528,3476,3476,1.0000,2894178,804120,48,1468,0.6038,0.7417,0.6657,41
hospital_log_high.json,69528,6953,0,0.0000,4487002,1860568,48,3351,0.7846,0.9545,0.8613,10764
hospital_log_high.json,69528,6953,348,0.0501,4469306,1852120,48,3352,0.7846,0.9545,0.8613,10246
hospital_log_high.json,69528,6953,695,0.1000,4467626,1849688,48,3353,0.7846,0.9545,0.8613,9647
hospital_log_high.json,69528,6953,1391,0.2001,4402298,1781400,48,3354,0.7846,0.9545,0.8613,8529
hospital_log_high.json,69528,6953,3477,0.5001,4481034,1860376,48,3358,0.7846,0.9545,0.8613,5277
hospital_log_high.json,69528,6953,5562,0.7999,4480650,1855512,48,3361,0.7846,0.9545,0.8613,2031
hospital_log_high.json,69528,6953,6953,1.0000,4474146,1851928,48,3365,0.7846,0.9545,0.8613,41
hospital_log_high.json,69528,13906,0,0.0000,7410730,4631128,48,6507,0.7846,0.9545,0.8613,14541
hospital_log_high.json,69528,13906,695,0.0500,7411946,4631320,48,6507,0.7846,0.9545,0.8613,13487
hospital_log_high.json,69528,13906,1391,0.1000,7403578,4621016,48,6507,0.7846,0.9545,0.8613,12408
hospital_log_high.json,69528,13906,2781,0.2000,7415626,4636568,48,6507,0.7846,0.9545,0.8613,10410
hospital_log_high.json,69528,13906,6953,0.5000,7417610,4637336,48,6507,0.7846,0.9545,0.8613,4687
hospital_log_high.json,69528,13906,11125,0.8000,7407754,4629784,48,6507,0.7846,0.9545,0.8613,589
hospital_log_high.json,69528,13906,13906,1.0000,7428914,4648344,48,6507,0.7846,0.9545,0.8613,39
hospital_log_high.json,69528,34764,0,0.0000,10686306,7729816,48,10000,1.0000,1.0000,1.0000,6917
hospital_log_high.json,69528,34764,1738,0.0500,10679586,7723096,48,10000,1.0000,1.0000,1.0000,5620
hospital_log_high.json,69528,34764,3476,0.1000,10692514,7736024,48,10000,1.0000,1.0000,1.0000,4384
hospital_log_high.json,69528,34764,6953,0.2000,10687458,7730968,48,10000,1.0000,1.0000,1.0000,2180
hospital_log_high.json,69528,34764,17382,0.5000,10677730,7721240,48,10000,1.0000,1.0000,1.0000,92
hospital_log_high.json,69528,34764,27811,0.8000,10679650,7723160,48,10000,1.0000,1.0000,1.0000,37
hospital_log_high.json,69528,34764,34764,1.0000,10690146,7733656,48,10000,1.0000,1.0000,1.0000,37
hospital_log_high.json,69528,69528,69528,1.0000,17453002,14496512,48,10000,1.0000,1.0000,1.0000,34
lending_log_high.json,58822,0,0,0.0000,1948872,240,48,1,0.4861,0.3403,0.4003,27
lending_log_high.json,58822,59,0,0.0000,1974536,14080,48,58,0.4861,0.3403,0.4003,121
lending_log_high.json,58822,59,3,0.0508,1972696,14720,48,58,0.4861,0.3403,0.4003,116
lending_log_high.json,58822,59,6,0.1017,1976360,15424,48,58,0.4861,0.3403,0.4003,111
lending_log_high.json,58822,59,12,0.2034,1974072,17280,48,58,0.4861,0.3403,0.4003,102
lending_log_high.json,58822,59,30,0.5085,1976184,15488,48,59,0.4861,0.3403,0.4003,74
lending_log_high.json,58822,59,47,0.7966,1970520,14336,48,59,0.4861,0.3403,0.4003,48
lending_log_high.json,58822,59,59,1.0000,1969928,13952,48,60,0.4861,0.3403,0.4003,31
lending_log_high.json,58822,294,0,0.0000,2081840,86664,48,292,0.4444,0.3681,0.4027,475
lending_log_high.json,58822,294,15,0.0510,2076768,92168,48,292,0.4444,0.3681,0.4027,460
lending_log_high.json,58822,294,29,0.0986,2110832,121672,48,292,0.4444,0.3681,0.4027,431
lending_log_high.json,58822,294,59,0.2007,2106992,121288,48,292,0.4444,0.3681,0.4027,384
lending_log_high.json,58822,294,147,0.5000,2069008,80136,48,292,0.4444,0.3681,0.4027,253
lending_log_high.json,58822,294,235,0.7993,2114400,124360,48,292,0.4444,0.3681,0.4027,121
lending_log_high.json,58822,294,294,1.0000,2106608,123016,48,294,0.4444,0.3681,0.4027,32
lending_log_high.json,58822,588,0,0.0000,2191832,184648,48,586,0.4444,0.3681,0.4027,799
lending_log_high.json,58822,588,29,0.0493,2183752,177480,48,586,0.4444,0.3681,0.4027,765
lending_log_high.json,58822,588,59,0.1003,2148344,148936,48,586,0.4444,0.3681,0.4027,720
lending_log_high.json,58822,588,118,0.2007,2164008,141448,48,586,0.4444,0.3681,0.4027,645
lending_log_high.json,58822,588,294,0.5000,2151200,147272,48,586,0.4444,0.3681,0.4027,473
lending_log_high.json,58822,588,470,0.7993,2182256,177992,48,586,0.4444,0.3681,0.4027,210
lending_log_high.json,58822,588,588,1.0000,2227600,178632,48,588,0.4444,0.3681,0.4027,32
lending_log_high.json,58822,2941,0,0.0000,3095360,834704,48,2876,0.5909,0.8611,0.7009,3772
lending_log_high.json,58822,2941,147,0.0500,3096576,835792,48,2876,0.5909,0.8611,0.7009,3579
lending_log_high.json,58822,2941,294,0.1000,3102864,844688,48,2876,0.5909,0.8611,0.7009,3388
lending_log_high.json,58822,2941,588,0.1999,3095104,835856,48,2877,0.5909,0.8611,0.7009,3001
lending_log_high.json,58822,2941,1471,0.5002,3098368,838224,48,2880,0.5909,0.8611,0.7009,1853
lending_log_high.json,58822,2941,2353,0.8001,3099920,845200,48,2883,0.5909,0.8611,0.7009,734
lending_log_high.json,58822,2941,2941,1.0000,3104136,846224,48,2885,0.5909,0.8611,0.7009,34
lending_log_high.json,58822,5882,0,0.0000,4619040,1846992,48,5802,0.6818,0.8993,0.7756,7070
lending_log_high.json,58822,5882,294,0.0500,4592784,1821840,48,5802,0.6818,0.8993,0.7756,6807
lending_log_high.json,58822,5882,588,0.1000,4607152,1834384,48,5803,0.6818,0.8993,0.7756,6285
lending_log_high.json,58822,5882,1176,0.1999,4617872,1845456,48,5805,0.6818,0.8993,0.7756,5566
lending_log_high.json,58822,5882,2941,0.5000,4620752,1849168,48,5811,0.6818,0.8993,0.7756,3327
lending_log_high.json,58822,5882,4706,0.8001,4618880,1847120,48,5816,0.6818,0.8993,0.7756,1325
lending_log_high.json,58822,5882,5882,1.0000,4609768,1837584,48,5820,0.6818,0.8993,0.7756,34
lending_log_high.json,58822,11764,0,0.0000,5434984,2604008,48,7496,1.0000,1.0000,1.0000,11161
lending_log_high.json,58822,11764,588,0.0500,5434824,2604584,48,7496,1.0000,1.0000,1.0000,10493
lending_log_high.json,58822,11764,1176,0.1000,5433512,2601512,48,7497,1.0000,1.0000,1.0000,9684
lending_log_high.json,58822,11764,2353,0.2000,5432152,2600680,48,7497,1.0000,1.0000,1.0000,8228
lending_log_high.json,58822,11764,5882,0.5000,5428952,2597800,48,7500,1.0000,1.0000,1.0000,4369
lending_log_high.json,58822,11764,9411,0.8000,5432040,2600040,48,7502,1.0000,1.0000,1.0000,1182
lending_log_high.json,58822,11764,11764,1.0000,5431424,2599912,48,7504,1.0000,1.0000,1.0000,33
lending_log_high.json,58822,29411,0,0.0000,9010216,6101616,48,9038,1.0000,1.0000,1.0000,8235
lending_log_high.json,58822,29411,1471,0.0500,9010760,6102000,48,9038,1.0000,1.0000,1.0000,6932
lending_log_high.json,58822,29411,2941,0.1000,9010520,6102192,48,9038,1.0000,1.0000,1.0000,5732
lending_log_high.json,58822,29411,5882,0.2000,9011096,6102640,48,9038,1.0000,1.0000,1.0000,3519
lending_log_high.json,58822,29411,14706,0.5000,9010424,6102192,48,9038,1.0000,1.0000,1.0000,382
lending_log_high.json,58822,29411,23529,0.8000,9009400,6101680,48,9038,1.0000,1.0000,1.0000,152
lending_log_high.json,58822,29411,29411,1.0000,9009336,6101488,48,9038,1.0000,1.0000,1.0000,31
lending_log_high.json,58822,58822,58822,1.0000,15697080,12740368,48,10000,1.0000,1.0000,1.0000,28
logistics.json,35413,0,0,0.0000,2194719,240,48,0,0.5018,0.6671,0.5728,30
logistics.json,35413,35,0,0.0000,2199519,1136,48,0,1.0000,0.9442,0.9713,69
logistics.json,35413,35,2,0.0571,2199167,1264,48,0,1.0000,0.9442,0.9713,64
logistics.json,35413,35,4,0.1143,2201903,1840,48,0,1.0000,0.9442,0.9713,60
logistics.json,35413,35,7,0.2000,2199823,880,48,0,1.0000,0.9442,0.9713,56
logistics.json,35413,35,18,0.5143,2197535,880,48,0,1.0000,0.9442,0.9713,44
logistics.json,35413,35,28,0.8000,2201231,1200,48,0,1.0000,0.9442,0.9713,34
logistics.json,35413,35,35,1.0000,2197247,1136,48,0,1.0000,0.9442,0.9713,28
logistics.json,35413,177,0,0.0000,2246767,43360,48,74,1.0000,0.9442,0.9713,165
logistics.json,35413,177,9,0.0508,2243311,42464,48,74,1.0000,0.9442,0.9713,149
logistics.json,35413,177,18,0.1017,2257407,54304,48,75,1.0000,0.9442,0.9713,138
logistics.json,35413,177,35,0.1977,2264255,56416,48,75,1.0000,0.9442,0.9713,122
logistics.json,35413,177,89,0.5028,2242447,41504,48,77,1.0000,0.9442,0.9713,83
logistics.json,35413,177,142,0.8023,2256399,50528,48,78,1.0000,0.9442,0.9713,49
logistics.json,35413,177,177,1.0000,2254735,50976,48,79,1.0000,0.9442,0.9713,31
logistics.json,35413,354,0,0.0000,2333335,113408,48,163,1.0000,0.9442,0.9713,277
logistics.json,35413,354,18,0.0508,2351623,115200,48,164,1.0000,0.9442,0.9713,243
logistics.json,35413,354,35,0.0989,2295999,88512,48,164,1.0000,0.9442,0.9713,224
logistics.json,35413,354,71,0.2006,2308671,89600,48,165,1.0000,0.9442,0.9713,196
logistics.json,35413,354,177,0.5000,2305423,96704,48,166,1.0000,0.9442,0.9713,127
logistics.json,35413,354,283,0.7994,2307055,91584,48,168,1.0000,0.9442,0.9713,67
logistics.json,35413,354,354,1.0000,2314751,93440,48,171,1.0000,0.9442,0.9713,29
logistics.json,35413,1771,0,0.0000,2795943,526464,48,713,1.0000,0.9442,0.9713,919
logistics.json,35413,1771,89,0.0503,2814855,549568,48,716,1.0000,0.9442,0.9713,838
logistics.json,35413,1771,177,0.0999,2777399,514880,48,719,1.0000,0.9442,0.9713,779
logistics.json,35413,1771,354,0.1999,2772183,506688,48,721,1.0000,0.9442,0.9713,679
logistics.json,35413,1771,886,0.5003,2757463,496960,48,731,1.0000,0.9442,0.9713,416
logistics.json,35413,1771,1417,0.8001,2786487,526656,48,742,1.0000,0.9442,0.9713,180
logistics.json,35413,1771,1771,1.0000,2779055,522944,48,750,1.0000,0.9442,0.9713,30
logistics.json,35413,3541,0,0.0000,3435087,1104576,48,1348,1.0000,0.9442,0.9713,1586
logistics.json,35413,3541,177,0.0500,3445599,1109248,48,1370,1.0000,0.9442,0.9713,1452
logistics.json,35413,3541,354,0.1000,3409311,1073984,48,1373,1.0000,0.9442,0.9713,1356
logistics.json,35413,3541,708,0.1999,3427295,1088768,48,1380,1.0000,0.9442,0.9713,1176
logistics.json,35413,3541,1771,0.5001,3402639,1068928,48,1404,1.0000,0.9442,0.9713,727
logistics.json,35413,3541,2833,0.8001,3455599,1122880,48,1447,1.0000,0.9442,0.9713,307
logistics.json,35413,3541,3541,1.0000,3441759,1104576,48,1458,1.0000,0.9442,0.9713,31
logistics.json,35413,7083,0,0.0000,4740399,2164800,48,2653,1.0000,0.9442,0.9713,2764
logistics.json,35413,7083,354,0.0500,4790399,2218432,48,2662,1.0000,0.9442,0.9713,2546
logistics.json,35413,7083,708,0.1000,4736751,2163648,48,2676,1.0000,0.9442,0.9713,2381
logistics.json,35413,7083,1417,0.2001,4755487,2179776,48,2686,1.0000,0.9442,0.9713,2091
logistics.json,35413,7083,3542,0.5001,4754767,2185344,48,2739,1.0000,0.9442,0.9713,1299
logistics.json,35413,7083,5666,0.7999,4754479,2184448,48,2786,1.0000,0.9442,0.9713,526
logistics.json,35413,7083,7083,1.0000,4754607,2184000,48,2844,1.0000,0.9442,0.9713,31
logistics.json,35413,17707,0,0.0000,6829727,3788160,48,6554,1.0000,0.9442,0.9713,4718
logistics.json,35413,17707,885,0.0500,6832687,3791808,48,6579,1.0000,0.9442,0.9713,4363
logistics.json,35413,17707,1771,0.1000,6832607,3790592,48,6599,1.0000,0.9442,0.9713,4080
logistics.json,35413,17707,3541,0.2000,6827887,3785600,48,6654,1.0000,0.9442,0.9713,3573
logistics.json,35413,17707,8854,0.5000,6838751,3795840,48,6773,1.0000,0.9442,0.9713,2141
logistics.json,35413,17707,14166,0.8000,6828367,3786752,48,6909,1.0000,0.9442,0.9713,838
logistics.json,35413,17707,17707,1.0000,6836351,3790912,48,6991,1.0000,0.9442,0.9713,30
logistics.json,35413,35413,35413,1.0000,11638207,8315648,48,13882,1.0000,0.9442,0.9713,28
lrmsCollection.json,28278,0,0,0.0000,2130123,240,48,2,0.4649,0.3884,0.4233,21
lrmsCollection.json,28278,28,0,0.0000,2146771,13272,48,13,0.6108,1.0000,0.7584,37
lrmsCollection.json,28278,28,1,0.0357,2146723,13336,48,13,0.6108,1.0000,0.7584,35
lrmsCollection.json,28278,28,3,0.1071,2145875,13208,48,13,0.6108,1.0000,0.7584,34
lrmsCollection.json,28278,28,6,0.2143,2145875,13720,48,13,0.6108,1.0000,0.7584,32
lrmsCollection.json,28278,28,14,0.5000,2146307,13080,48,13,0.6108,1.0000,0.7584,29
lrmsCollection.json,28278,28,22,0.7857,2145603,13208,48,13,0.6108,1.0000,0.7584,25
lrmsCollection.json,28278,28,28,1.0000,2146563,13720,48,13,0.6108,1.0000,0.7584,22
lrmsCollection.json,28278,141,0,0.0000,2203311,61400,48,66,0.5163,0.7687,0.6177,86
lrmsCollection.json,28278,141,7,0.0496,2200783,60568,48,66,0.5163,0.7687,0.6177,82
lrmsCollection.json,28278,141,14,0.0993,2204959,63448,48,67,0.5163,0.7687,0.6177,79
lrmsCollection.json,28278,141,28,0.1986,2200175,62104,48,67,0.5163,0.7687,0.6177,74
lrmsCollection.json,28278,141,71,0.5035,2206319,63448,48,67,0.5163,0.7687,0.6177,54
lrmsCollection.json,28278,141,113,0.8014,2199823,62360,48,67,0.5163,0.7687,0.6177,35
lrmsCollection.json,28278,141,141,1.0000,2204847,61528,48,70,0.5163,0.7687,0.6177,23
lrmsCollection.json,28278,283,0,0.0000,2261127,109776,48,120,0.5163,0.7687,0.6177,151
lrmsCollection.json,28278,283,14,0.0495,2260359,107920,48,120,0.5163,0.7687,0.6177,143
lrmsCollection.json,28278,283,28,0.0989,2249895,106320,48,120,0.5163,0.7687,0.6177,137
lrmsCollection.json,28278,283,57,0.2014,2254983,108944,48,120,0.5163,0.7687,0.6177,125
lrmsCollection.json,28278,283,142,0.5018,2260247,113872,48,126,0.5163,0.7687,0.6177,85
lrmsCollection.json,28278,283,226,0.7986,2263111,110032,48,126,0.5163,0.7687,0.6177,48
lrmsCollection.json,28278,283,283,1.0000,2265767,114320,48,130,0.5163,0.7687,0.6177,24
lrmsCollection.json,28278,1414,0,0.0000,2643843,454376,48,604,0.7333,0.8121,0.7707,611
lrmsCollection.json,28278,1414,71,0.0502,2668323,474472,48,606,0.7333,0.8121,0.7707,584
lrmsCollection.json,28278,1414,141,0.0997,2645043,451560,48,606,0.7333,0.8121,0.7707,569
